token_id,file_url,creator_address,last_sale_price,score,rank,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
232,ipfs://QmRaGv29gcqrKJDvDc37oDZpTxjNZwRNyPHa9V1Z1m4HGM,0x37d3c912a851bdc7fdc31f4a63970716b7b079b6,"{'asset_type': 'ETH', 'contract_address': None, 'price': 800.0, 'price_usd': 930944.3381563324}",1.0081826893961552,4230,,,,,,,
2320,ipfs://QmP989ocgKSGpKx1JAZAhLnf6LQpfqvofz7uvhvU4JZQvB,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 1.9, 'price_usd': 4809.05191622383}",0.9729720302268052,5468,,Army Green,Cream,Puffy Vest,Bored Cigarette,X Eyes,Beanie
2321,ipfs://QmcLESfXyaJ5FP8mRRHsxTqkk2jar4ecszmb5RSQaRGQvW,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 76.0, 'price_usd': 107330.35036607509}",0.8862131143498876,8327,,,,,,,
2322,ipfs://QmXZev2zaYea9mw6uhFPR5C6cK9XDYBrAVvP5WHPjNDxqR,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 100.0, 'price_usd': 313101.64981735375}",0.9033923878223258,7831,,Aquamarine,Golden Brown,Toga,Bored Unshaven,Bored,Prussian Helmet
2323,ipfs://QmPhvEbjBvQvZGngxNpgrERY1PN7VNfckX5tWmvzRjMaNs,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.45, 'price_usd': 1124.2004379509733}",1.0513076959519858,3029,,Aquamarine,White,Bandolier,Bored Unshaven Cigarette,3d,Irish Boho
2324,ipfs://QmSgGvuxZezu6NVCCcz6aW8wwJ3N71Qx61qzRbaP174jNw,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 27.9, 'price_usd': 117767.75283369205}",0.9743396873024645,5407,,New Punk Blue,White,Vietnam Jacket,Bored Unshaven,Crazy,Horns
2325,ipfs://QmUhjP2N57XMPeVUJ5beEBjfnVwXjcAiDJAcZZpED3NRtE,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 34.5, 'price_usd': 111684.82129750682}",0.9004106726733859,7921,,Orange,Dark Brown,Striped Tee,Bored Unshaven,3d,Faux Hawk
2326,ipfs://QmS5azJ6dD3jzmwknjKrMDPejgXFHgX6xgUHDVsQ93SV4T,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 50.0, 'price_usd': 233615.20566296636}",1.1404872785613394,1336,Cross,Aquamarine,Brown,Service,Phoneme  ooo,Scumbag,
2327,ipfs://QmQbnzD4a9LxqKQ8fSirJV6F928enrJDpewtruNyZ1KRhq,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 77.0, 'price_usd': 130020.51559733255}",0.9951775872063652,4676,,Army Green,Black,Black T,Small Grin,Eyepatch,Horns
2328,ipfs://QmcSmJw3RnFdATXXt3eUpatW2CMidj4g7kFvWCqw4aXam6,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 1.4, 'price_usd': 3686.7687316782853}",1.1584943339322176,1105,Silver Hoop,New Punk Blue,Red,Prison Jumpsuit,Bored Unshaven,Eyepatch,Stuntman Helmet
2329,ipfs://QmSgRNqzprH9zKWyogvZawLrG1P9LRXHWnmCWjZTzyzkc1,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 145.0, 'price_usd': 429372.36413540406}",0.9483013744014642,6308,,Blue,Golden Brown,,Bored Cigar,Bloodshot,Halo
233,ipfs://QmaybHVLP6hw7c7eW1hGWz7gEvxpujP1k5Ve5RsBRongtJ,0x37d3c912a851bdc7fdc31f4a63970716b7b079b6,,1.0285647326338656,3634,,,,,,,
2330,ipfs://QmY7g8unfXZ4a7T4786EFg54Ck4jitXAAoskdaAF5YhQ1a,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ERC20', 'contract_address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'price': 63.929745, 'price_usd': 102556.21561504986}",0.9195474134894782,7294,,,,,,,
2331,ipfs://QmZDkhPde2rP3kRta8cQKxha27xHAtUrbdG62pVnBEAoQC,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.88, 'price_usd': 2345.4350143153483}",0.9375634463528818,6706,,Orange,Black,Tweed Suit,Bored,Scumbag,Commie Hat
